"Country","Specifier Name","Specifier Email","Specifier 2 Name","Specifier 2 Email"
"Austria","Jerry Ryan","jerry.ryan.ds@outlook.com","Jane Wilson","jane.wilson.ds@outlook.com"
"Belgium","Chris Smith","chris.smith.ds@outlook.com","Jerry Ryan","jerry.ryan.ds@outlook.com"
"Czech Republic","Jane Wilson","jane.wilson.ds@outlook.com","Chris Smith","chris.smith.ds@outlook.com"
"Denmark","Jerry Ryan","jerry.ryan.ds@outlook.com","Jane Wilson","jane.wilson.ds@outlook.com"
"Estonia","Chris Smith","chris.smith.ds@outlook.com","Jerry Ryan","jerry.ryan.ds@outlook.com"
"Finland","Jane Wilson","jane.wilson.ds@outlook.com","Chris Smith","chris.smith.ds@outlook.com"
"France","Jerry Ryan","jerry.ryan.ds@outlook.com","Jane Wilson","jane.wilson.ds@outlook.com"
"Germany","Chris Smith","chris.smith.ds@outlook.com","Jerry Ryan","jerry.ryan.ds@outlook.com"
"Greece","Jane Wilson","jane.wilson.ds@outlook.com","Chris Smith","chris.smith.ds@outlook.com"
"Hungary","Jerry Ryan","jerry.ryan.ds@outlook.com","Jane Wilson","jane.wilson.ds@outlook.com"
"Ireland","Chris Smith","chris.smith.ds@outlook.com","Jerry Ryan","jerry.ryan.ds@outlook.com"
"Italy","Jane Wilson","jane.wilson.ds@outlook.com","Chris Smith","chris.smith.ds@outlook.com"
"Luxembourg","Jerry Ryan","jerry.ryan.ds@outlook.com","Jane Wilson","jane.wilson.ds@outlook.com"
"The Netherlands","Chris Smith","chris.smith.ds@outlook.com","Jerry Ryan","jerry.ryan.ds@outlook.com"
"Norway","Jane Wilson","jane.wilson.ds@outlook.com","Chris Smith","chris.smith.ds@outlook.com"
"Poland","Jerry Ryan","jerry.ryan.ds@outlook.com","Jane Wilson","jane.wilson.ds@outlook.com"
"Portugal","Chris Smith","chris.smith.ds@outlook.com","Jerry Ryan","jerry.ryan.ds@outlook.com"
"Romania","Jane Wilson","jane.wilson.ds@outlook.com","Chris Smith","chris.smith.ds@outlook.com"
"Spain","Jerry Ryan","jerry.ryan.ds@outlook.com","Jane Wilson","jane.wilson.ds@outlook.com"
"Sweden","Chris Smith","chris.smith.ds@outlook.com","Jerry Ryan","jerry.ryan.ds@outlook.com"
"Switzerland","Jane Wilson","jane.wilson.ds@outlook.com","Chris Smith","chris.smith.ds@outlook.com"
"United Kingdom","Jerry Ryan","jerry.ryan.ds@outlook.com","Jane Wilson","jane.wilson.ds@outlook.com"
